CURRENCY  CODE,CURRENCY AMOUNT,REPORT,BUSINESS SERVICE ID:,FILE ID:,MEMBER ID:,PAGE NO:,RUN DATE:,ACCEPTANCE BRAND:,BUSINESS SERVICE LEVEL:,RUN TIME:,CURRENCY CODE :
356-INR,"19,969,678.65 DR",1IP728010-AA,,,00000016987,6,05/26/18,,,03.10.05,
840-USD,"4,370.97 DR",1IP728010-AA,,,00000016987,6,05/26/18,,,03.10.05,
,,1IP728010-AA,,,00000016987,6,05/26/18,,,03.10.05,
,,1IP728010-AA,,,00000016987,6,05/26/18,,,03.10.05,
